Benchmark,Spatial Locality,Temporal Locality,AI,MPKI,LFMR,You Class,DAMOV Class,Comments on the (un)match
3mm_large_100M,1,0.57,1.9,19.22,0.54,2A,2C,Unmatched because of AI and LFMR
backprop_adjust_weights,0.86,0.29,5.73,26.42,1,1A,2C,No match at all
backprop_layerforward,1,0.25,1.8,84.67,0.5,1C,2C,Unmatched because of Temporal Locality and AI
convolution-2d_large_100M,1,0.42,2.81,0.75,0.32,1A,2B,Only AI matches
doitgen_large_100M,1,0.5,2.35,1.75,0.06,2A,2C,Unmatched because of AI and LFMR
fdtd-apml_large_100M,1,0.4,2.74,2.46,0.96,1A,2C,No match at all
gemm_large_100M,1,0.52,1.9,18.28,0.54,2A,2C,Unmatched because of AI and LFMR
gemver_large_100M,1,0.48,2,5.21,0.54,1B,2B,Unmatched because of AI and LFMR
srad,0.97,0.24,3.49,45.79,0.89,1B,2C,Only MPKI matches
symm_large_100M,1,0.51,1.97,3.29,0.75,2A,2C,Unmatched because of AI and LFMR

